RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
114331,Toetemeyer,,,,,,SPD,
114333,Hinsken,,,,,,CDU/CSU,
114335,Hinsken,,,,,,CDU/CSU,
114341,Sauer,,,,,,CDU/CSU,Salzgitter
114342,Sauer,,,,,,CDU/CSU,Salzgitter
114344,Roth,,,,,,CDU/CSU,Gießen
114346,Götte,,,Dr.,,,SPD,
114347,Schmitz,,,,,,CDU/CSU,Baesweiler
114349,Borchert,,,,,,CDU/CSU,
114350,Schmitz,,,,,,CDU/CSU,Baesweiler
114351,Würfel,,,,,,FDP,
114353,Götte,,,Dr.,,,SPD,
114355,Enkelmann,,,Dr.,,,DIE LINKE.,
114358,Höll,,,Dr.,,,DIE LINKE.,
114359,Enkelmann,,,Dr.,,,DIE LINKE.,
114360,Gerster,,,,,,CDU/CSU,Mainz
114362,Schmitz,,,,,,CDU/CSU,Baesweiler
114365,Männle,,,,,,CDU/CSU,
114366,Schmitz,,,,,,CDU/CSU,Baesweiler
114367,Küster,,,Dr.,,,SPD,
114368,Schenk,,,,,,BÜNDNIS 90/DIE GRÜNEN,
114369,Schmidt-Zadel,,,,,,SPD,
114370,Doppmeier,,,,,,CDU/CSU,
114373,Peter,,,,,,SPD,Kassel
114385,Blank,,,Dr.,,,CDU/CSU,
114389,Blank,,,Dr.,,,CDU/CSU,
114391,Matthäus-Maier,,,,,,SPD,
114394,Wegner,,,Dr.,,,SPD,
114396,Gerster,,,,,,CDU/CSU,Mainz
114402,Baum,,,,,,FDP,
114405,Schmitz,,,,,,CDU/CSU,Baesweiler
114407,Hirsch,,,Dr.,,,FDP,
114410,Gegenruf des   Heuer,,,Dr.,,,DIE LINKE.,
114410,Geis,,,,,,CDU/CSU,
114412,Blank,,,Dr.,,,CDU/CSU,
114413,Gerster,,,,,,CDU/CSU,Mainz
114414,Gerster,,,,,,CDU/CSU,Mainz
114417,Schmitz,,,,,,CDU/CSU,Baesweiler
114418,Gerster,,,,,,CDU/CSU,Mainz
114420,Lintner,,,,,,CDU/CSU,
114421,Stetten,,,Dr.,von,Freiherr,CDU/CSU,
114427,Geis,,,,,,CDU/CSU,
114431,Geis,,,,,,CDU/CSU,
114433,Marschewski,,,,,,CDU/CSU,
114435,Roitzsch,,,,,,CDU/CSU,Quickborn
114436,Marschewski,,,,,,CDU/CSU,
114441,Matthäus-Maier,,,,,,SPD,
114442,Waigel,,,Dr.,,,CDU/CSU,
114444,Schäfer,,,,,,SPD,Offenburg
114445,Lennartz,,,,,,SPD,
114447,Schäfer,,,,,,SPD,Offenburg
114448,Matthäus-Maier,,,,,,SPD,
114449,Geldern,,,Dr.,von,,CDU/CSU,
114450,Struck,,,Dr.,,,SPD,
114451,Schäfer,,,,,,SPD,Offenburg
114454,Schäfer,,,,,,SPD,Offenburg
114455,Pfeffermann,,,,,,CDU/CSU,
114456,Pfeffermann,,,,,,CDU/CSU,
114458,Struck,,,Dr.,,,SPD,
114461,Schäfer,,,,,,SPD,Offenburg
114461,Matthäus-Maier,,,,,,SPD,
114466,Schäfer,,,,,,SPD,Offenburg
114470,Pfeffermann,,,,,,CDU/CSU,
114473,Matthäus-Maier,,,,,,SPD,
114474,Schäfer,,,,,,SPD,Offenburg
114477,Schäfer,,,,,,SPD,Offenburg
114478,Hinsken,,,,,,CDU/CSU,
114480,Carstensen,,,,,,CDU/CSU,Nordstrand
114481,Hinsken,,,,,,CDU/CSU,
114482,Pfeffermann,,,,,,CDU/CSU,
114483,Schäfer,,,,,,SPD,Offenburg
114484,Carstensen,,,,,,CDU/CSU,Nordstrand
114486,Schroeder,,,Dr.,,,CDU/CSU,Freiburg
114487,Schäfer,,,,,,SPD,Offenburg
114488,Börnsen,,,,,,SPD,Ritterhude
114489,Lennartz,,,,,,SPD,
114495,Struck,,,Dr.,,,SPD,
114501,Jagoda,,,,,,CDU/CSU,
114502,Andres,,,,,,SPD,
114504,Seehofer,,,,,,CDU/CSU,
114508,Andres,,,,,,SPD,
114509,Dreßler,,,,,,SPD,
114515,Dreßler,,,,,,SPD,
114518,Weng,,,Dr.,,,FDP,Gerlingen
114522,Weng,,,Dr.,,,FDP,Gerlingen
114523,Seehofer,,,,,,CDU/CSU,
114525,Andres,,,,,,SPD,
114526,Andres,,,,,,SPD,
114532,Andres,,,,,,SPD,
114538,Gilges,,,,,,SPD,
114543,Cronenberg,,,,,,FDP,Arnsberg
114544,Thomae,,,Dr.,,,FDP,
114545,Thomae,,,Dr.,,,FDP,
114546,Thomae,,,Dr.,,,FDP,
114547,Blüm,,,Dr.,,,CDU/CSU,
114548,Blüm,,,Dr.,,,CDU/CSU,
114551,Kansy,,,Dr.-Ing.,,,CDU/CSU,
114553,Kansy,,,Dr.-Ing.,,,CDU/CSU,
114555,Kansy,,,Dr.-Ing.,,,CDU/CSU,
