RB_ID,KO_Name
2168,Kauder [CDU/CSU]
2168,Aus Baden-Württemberg ist die Idee gewesen! - Siegfried Vergin [SPD]
2168,Müller [Berlin] [PDS] - Hans Klein [München] [CDU/CSU]
2168,Frau Staatssekretärin? - Jürgen W. Möllemann [F.D.P.]
2168,Dr. Heiner Geißler [CDU/CSU]
2168,Westerwelle [F.D.P.]
2168,Unglaublich! - Otto Schüy [SPD]
2168,Dietmar Schütz [Oldenburg] [SPD]
2168,Dr. Peter Struck [SPD]
2168,Fuchs [Köln] [SPD]
2168, An ihren Zahnlücken! -Rudolf Dreßler [SPD]
2168,Ingrid Matthäus-Maier [SPD]
2168,Detlev von Larcher [SPD]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Baumeister [CDU/CSU]
2168, Wir machen Ihnen Vorschläge! - Achim Großmann [SPD]
2168,Enkelmann [PDS]
2168, Dummes Zeug! - Günter Verheugen [SPD]
2168,Hans Büttner [Ingolstadt] [SPD]
2168,Dr. Peter Struck [SPD]
2168,Günter Rixe [SPD]
2168,Enkelmann [PDS]
2168,Dr. Peter Struck [SPD]
2168,Elke Ferner [SPD]
2168,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168, Die richtigen Rahmenbedingungen sind hier gegeben worden! - Horst Sielaff [SPD]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Michael Glos [CDU/CSU]
2168,Dr. Wolfgang Wodarg [SPD]
2168,Poß [SPD]
2168,Dr. Peter Struck [SPD]
2168,CDU/CSU - Ernst Hinsken [CDU/CSU]
2168,und der PDS - Ina Albowitz [F.D.P.]
2168,DIE GRÜNEN - Norbert Gansel [SPD]
2168,Dr. Uschi Eid [BÜNDNIS 90/DIE GRÜNEN]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Ingrid Matthäus-Maier [SPD]
2168,kehren! - Dr. Helmut Haussmann [F.D.P.]
2168,Glos [CDU/CSU]
2168,Anke Fuchs [Köln] [SPD]
2168,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Walter Hirche [F.D.P.]
2168,Eckart Kuhlwein [SPD]
2168,denn? - Ingrid Matthäus-Maier [SPD]
2168,Ernst Hinsken [CDU/CSU]
2168,doller! - Joseph Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Eduard Oswald [CDU/CSU]
2168,Enkelmann [PDS]
2168,DIE GRÜNEN - Arne Fuhrmann [SPD]
2168,Peter Hintze [CDU/CSU]
2168,das richtig! - Dr. Uwe Küster [SPD]
2168,Norbert Geis [CDU/CSU]
2168,Westerwelle [F.D.P.]
2168,Weng [Gerlingen] [F.D.P.]
2168,Klaus Kirschner [SPD]
2168,Detlev von Larcher [SPD]
2168, Er will Sie aufs Glatteis führen! - Horst Kubatschka [SPD]
2168,DIE GRÜNEN - Ernst Hinsken [CDU/CSU]
2168,Jork [CDU/CSU]
2168,Unsinn! - Norbert Schindler [CDU/CSU]
2168,Dietmar Kansy [CDU/CSU]
2168,Detlev von Larcher [SPD]
2168,nicht! - Dr. Dagmar Enkelmann [PDS]
2169,Dr. Guido Westerwelle [F.D.P.]
2169,Helmut Wieczorek [Duisburg] [SPD]
2169,wahr! - Dr. Norbert Rieder [CDU/CSU]
2169,Clemens Schwalbe [CDU/CSU]
2170,Lachen bei der SPD - Freimut Duve [SPD]
2170,Dr. Manuel Kiper [BÜNDNIS 90/DIE GRÜNEN]
2170,F.D.P. - Dr. Dieter Thomae [F.D.P.]
2170,euch verlassen! - Joachim Poß [SPD]
2170,Dr. Helmut Haussmann [F.D.P.]
2170,Matthäus-Maier [SPD]
2170,und der PDS - Michael Glos [CDU/CSU]
2170,Hört! - Joachim Hörster [CDU/CSU]
2170,Ernst Schwanhold [SPD]
2170,Wieczorek [Duisburg] [SPD]
2170,Tauss [SPD]
2170,Ulrich Heinrich [F.D.P.]
2170,Enkelmann [PDS]
2170,GRÜNEN und der PDS - Eckart von Klaeden [CDU/CSU]
2170,Scharping [SPD]
2170,Winfried Nachtwei [BÜNDNIS 90/DIE GRÜNEN]
2170,mal bei der Wahrheit! Eine Unverschämtheit! - Hans-Peter Kemper [SPD]
2170,Dr. Peter Struck [SPD]
2170,Zusatzfrage gewesen! - Heidi Wright [SPD]
2170,Catenhusen [SPD]
2170,Weng [Gerlingen] [F.D.P.]
2170,fertig! - Jörg Tauss [SPD]
2170,Anke Fuchs [Köln] [SPD]
2170,von Stetten [CDU/CSU]
2170,Dr. Peter Struck [SPD]
2170,Detlev von Larcher [SPD]
2170,Hochamt! - Paul K. Friedhoff [F.D.P.]
2170,Schäuble [CDU/CSU]
2170,Gert Willner [CDU/CSU]
2170,nämlich noch Ungereimtheiten! - Heidemarie Wieczorek-Zeul [SPD]
2170,DIE GRÜNEN - Dr. Uwe Küster [SPD]
